t x y
5.48 0.236026 0.828644
5.49 0.237642 0.806061
5.5 0.239324 0.784106
5.51 0.241069 0.762763
5.52 0.242878 0.742013
5.53 0.244751 0.72184
5.54 0.246687 0.702229
5.55 0.248687 0.683165
5.56 0.25075 0.664633
5.57 0.252876 0.646617
5.58 0.255066 0.629102
5.59 0.257319 0.612075
5.6 0.259635 0.595522
5.61 0.262016 0.579431
5.62 0.26446 0.563788
5.63 0.266968 0.548582
5.64 0.26954 0.533799
5.65 0.272176 0.519428
5.66 0.274877 0.505456
5.67 0.277644 0.491875
5.68 0.280476 0.478672
5.69 0.283373 0.465837
5.7 0.286337 0.453359
5.71 0.289367 0.441228
5.72 0.292464 0.429435
5.73 0.295629 0.41797
5.74 0.298862 0.406824
5.75 0.302164 0.39599
5.76 0.305534 0.385456
5.77 0.308975 0.375215
5.78 0.312485 0.365259
5.79 0.316066 0.355579
5.8 0.319719 0.346169
5.81 0.323445 0.33702
5.82 0.327243 0.328126
5.83 0.331115 0.319478
5.84 0.335061 0.311071
5.85 0.339082 0.302896
5.86 0.343179 0.294948
5.87 0.347353 0.287221
5.88 0.351605 0.279708
5.89 0.355935 0.272404
5.9 0.360344 0.265302
5.91 0.364834 0.258396
5.92 0.369404 0.251681
5.93 0.374057 0.245152
5.94 0.378792 0.238804
5.95 0.383612 0.232631
5.96 0.388516 0.226629
5.97 0.393506 0.220794
5.98 0.398584 0.215119
5.99 0.403749 0.2096
6 0.409004 0.204233
6.01 0.414349 0.199014
6.02 0.419786 0.193939
6.03 0.425315 0.189005
6.04 0.430938 0.184206
6.05 0.436656 0.179539
6.06 0.44247 0.175001
6.07 0.448382 0.170587
6.08 0.454392 0.166294
6.09 0.460503 0.162118
6.1 0.466714 0.158058
6.11 0.473029 0.154109
6.12 0.479448 0.150269
6.13 0.485972 0.146534
6.14 0.492603 0.142901
6.15 0.499343 0.139367
6.16 0.506192 0.135929
6.17 0.513153 0.132585
6.18 0.520226 0.129333
6.19 0.527414 0.12617
6.2 0.534719 0.123093
6.21 0.54214 0.1201
6.22 0.549681 0.117189
6.23 0.557343 0.114357
6.24 0.565127 0.111602
6.25 0.573036 0.108921
6.26 0.58107 0.106313
6.27 0.589233 0.103776
6.28 0.597525 0.101309
6.29 0.605949 0.0989082
6.3 0.614506 0.0965728
6.31 0.623198 0.0943008
6.32 0.632027 0.0920901
6.33 0.640995 0.089939
6.34 0.650104 0.0878458
6.35 0.659356 0.0858092
6.36 0.668754 0.0838276
6.37 0.678298 0.0818997
6.38 0.687992 0.0800239
6.39 0.697838 0.078199
6.4 0.707837 0.0764234
6.41 0.717992 0.0746957
6.42 0.728305 0.0730145
6.43 0.738779 0.0713783
6.44 0.749415 0.0697858
6.45 0.760215 0.0682361
6.46 0.771183 0.066728
6.47 0.782322 0.0652605
6.48 0.793633 0.0638326
6.49 0.805118 0.0624432
6.5 0.816782 0.0610913
6.51 0.828625 0.0597758
6.52 0.840652 0.0584956
6.53 0.852863 0.0572499
6.54 0.865262 0.0560374
6.55 0.877852 0.0548572
6.56 0.890635 0.0537084
6.57 0.903614 0.0525903
6.58 0.916792 0.0515023
6.59 0.930173 0.0504435
6.6 0.943759 0.0494133
6.61 0.957554 0.0484108
6.62 0.97156 0.0474355
6.63 0.985781 0.0464865
6.64 1.00022 0.0455631
6.65 1.01488 0.0446647
6.66 1.02976 0.0437904
6.67 1.04487 0.0429395
6.68 1.06021 0.0421114
6.69 1.07579 0.0413055
6.7 1.0916 0.0405213
6.71 1.10765 0.0397583
6.72 1.12395 0.039016
6.73 1.14049 0.038294
6.74 1.15729 0.0375916
6.75 1.17434 0.0369084
6.76 1.19165 0.036244
6.77 1.20923 0.0355978
6.78 1.22707 0.0349692
6.79 1.24519 0.0343579
6.8 1.26357 0.0337633
6.81 1.28224 0.0331851
6.82 1.30119 0.0326228
6.83 1.32043 0.0320762
6.84 1.33995 0.0315449
6.85 1.35978 0.0310285
6.86 1.37991 0.0305268
6.87 1.40034 0.0300393
6.88 1.42108 0.0295658
6.89 1.44213 0.0291059
6.9 1.46351 0.0286592
6.91 1.4852 0.0282254
6.92 1.50723 0.0278042
6.93 1.52958 0.0273952
6.94 1.55228 0.0269983
6.95 1.57531 0.0266132
6.96 1.5987 0.0262397
6.97 1.62243 0.0258776
6.98 1.64653 0.0255266
6.99 1.67099 0.0251866
7 1.69582 0.0248572
7.01 1.72103 0.0245383
7.02 1.74661 0.0242296
7.03 1.77258 0.023931
7.04 1.79894 0.0236421
7.05 1.8257 0.0233629
7.06 1.85286 0.0230932
7.07 1.88043 0.0228329
7.08 1.90842 0.0225818
7.09 1.93682 0.0223398
7.1 1.96566 0.0221067
7.11 1.99493 0.0218825
7.12 2.02464 0.021667
7.13 2.05479 0.02146
7.14 2.0854 0.0212614
7.15 2.11647 0.0210711
7.16 2.14801 0.020889
7.17 2.18002 0.020715
7.18 2.2125 0.0205491
7.19 2.24548 0.0203912
7.2 2.27895 0.0202412
7.21 2.31293 0.0200992
7.22 2.34742 0.0199651
7.23 2.38242 0.0198388
7.24 2.41795 0.0197202
7.25 2.45401 0.0196093
7.26 2.49061 0.0195061
7.27 2.52776 0.0194106
7.28 2.56546 0.0193227
7.29 2.60373 0.0192425
7.3 2.64257 0.01917
7.31 2.682 0.0191054
7.32 2.72201 0.0190485
7.33 2.76262 0.0189996
7.34 2.80384 0.0189585
7.35 2.84568 0.0189254
7.36 2.88814 0.0189003
7.37 2.93124 0.0188832
7.38 2.97498 0.0188742
7.39 3.01937 0.0188735
7.4 3.06442 0.0188812
7.41 3.11014 0.0188976
7.42 3.15655 0.0189227
7.43 3.20365 0.0189569
7.44 3.25145 0.0190001
7.45 3.29996 0.0190527
7.46 3.3492 0.0191149
7.47 3.39916 0.0191866
7.48 3.44987 0.0192683
7.49 3.50133 0.01936
7.5 3.55356 0.0194622
7.51 3.60656 0.0195752
7.52 3.66034 0.0196996
